country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,key
51,United Kingdom,0,0,05/07/1945,194507,51320,Labour Party,Labour,30,102,1,1982,.961,,48,0,,393,640,1,10,,567,13.5,1.4,2.1,.2,.4,.2,3.2,2.5,0,0,0,2.7,.7000000000000001,0,0,.9,0,1.9,1.8,1.8,.5,.4,3.3,3.7,.2,0,0,2.3,0,3.2,4.9,6.9,4.4,1.2,0,0,.2,.9,4.1,10.2,0,1.8,0,0,0,0,0,.9,3.2,0,0,5.3,0,5.5,3.3,0,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31.3,13.9,1.7,14.3,5.5,2020b,4GDSR7,51320_194507
51,United Kingdom,0,0,05/07/1945,194507,51420,Liberal Party,,40,102,1,1982,.961,,9,0,,12,640,1,10,,250,14.4,4.8,1.6,.8,2.8,0,2.4,2.4,0,0,0,2.4,3.6,2,1.2,.8,0,.8,0,2,4.8,.4,0,6.8,.4,1.6,0,.8,0,.4,.8,2,3.2,5.2,0,0,.8,.8,6,3.2,0,2.8,0,1.6,.4,0,0,0,2,.8,0,1.2,0,7.2,.8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.8,8.800000000000001,10,9.200000000000001,4,2020b,GSWOU2,51420_194507
51,United Kingdom,0,0,05/07/1945,194507,51620,Conservative Party,Conservatives,60,102,1,1982,.961,,36.8,0,,199,640,1,10,,326,11.7,7.3,.6,2.4,3.3,0,.3,2.7,0,0,0,6.7,.3,0,0,0,0,.3,0,1.2,7.3,2.7,.3,3.3,0,.3,0,4.9,0,1.2,.3,1.2,0,6.100000000000001,0,0,.9,1.2,.6,4.9,0,2.1,0,3.3,0,2.4,0,0,2.1,2.7,0,2.1,0,6.4,1.8,.9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,4.8,13.4,5.5,.9,2020b,PM7TNC,51620_194507
51,United Kingdom,0,0,23/02/1950,195002,51320,Labour Party,Labour,30,102,1,1982,.961,,46.109,0,,315,625,1,10,,261,41.8,1.9,0,1.2,0,0,1.5,2.7,.4,0,0,0,2.3,0,0,0,0,0,0,0,0,.8,4.600000000000001,3.1,0,0,0,5,2.7,3.8,0,1.2,5.4,0,0,0,.4,2.3,.8,6.5,0,2.3,0,0,0,0,0,0,3.1,0,0,1.2,0,3.1,.4,.8,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.1,8.9,0,7.3,1.5,2020b,ZGJMF8,51320_195002
51,United Kingdom,0,0,23/02/1950,195002,51420,Liberal Party,,40,102,1,1982,.961,,9.112,0,,9,625,1,10,,333,34.5,1.8,0,2.1,0,.3,1.5,2.1,1.2,0,0,4.8,3.6,0,.3,2.4,0,4.5,0,0,5.7,.6,2.7,0,0,0,4.2,.6,0,1.8,1.8,0,0,7.2,0,0,0,.3,3,2.1,.3,0,.3,.6,0,.6,0,0,.9,0,0,0,.9,3.3,1.2,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,2.7,12.9,5.100000000000001,1.8,2020b,MEOCL3,51420_195002
51,United Kingdom,0,0,23/02/1950,195002,51620,Conservative Party,Conservatives,60,102,1,1982,.961,,43.42,0,,298,625,1,10,,365,17.3,2.7,.8,.5,.5,.5,1.1,1.4,1.9,.8,.5,.5,2.2,3,.8,3.3,2.2,2.5,.8,3,3.6,2.7,.8,2.5,.3,.8,.3,1.1,.3,2.5,1.1,.8,4.7,2.5,0,0,0,.3,3.3,2.5,.3,3.3,.3,4.7,.8,.8,0,.5,1.1,1.6,.3,2.2,2.7,1.9,1.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.2,4.1,6.100000000000001,5.8,2.4,2020b,XAHWUK,51620_195002
51,United Kingdom,0,0,25/10/1951,195110,51320,Labour Party,Labour,30,102,1,1982,.961,,48.778,0,,295,625,1,10,,131,25.2,2.3,.8,.8,2.3,.8,3.8,5.3,0,0,0,0,0,0,0,.8,0,0,0,0,0,0,4.600000000000001,4.600000000000001,0,1.5,0,9.9,0,1.5,.8,6.9,1.5,0,0,0,0,0,8.4,4.600000000000001,0,0,0,0,0,0,0,0,0,0,0,3.1,0,3.8,4.600000000000001,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.2,16.1,0,13,5.4,2020b,6B5WG5,51320_195110
51,United Kingdom,0,0,25/10/1951,195110,51420,Liberal Party,,40,102,1,1982,.961,,2.555,0,,6,625,1,10,,138,2.2,.7000000000000001,1.5,0,2.9,1.5,5.8,11.6,1.5,0,0,1.5,6.5,0,.7000000000000001,1.5,0,.7000000000000001,0,0,2.2,0,2.2,.7000000000000001,0,0,0,9.4,0,7.3,2.9,0,0,10.9,0,0,0,0,1.5,1.5,0,0,0,.7000000000000001,0,0,0,1.5,9.4,1.5,0,2.2,.7000000000000001,1.5,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9,2.9,13.1,3,8.800000000000001,2020b,CN4G6E,51420_195110
51,United Kingdom,0,0,25/10/1951,195110,51620,Conservative Party,Conservatives,60,102,1,1982,.961,,47.971,0,,321,625,1,10,,138,53.6,5.100000000000001,0,0,2.2,0,.7000000000000001,2.9,0,0,0,1.5,.7000000000000001,.7000000000000001,0,2.2,0,0,0,0,0,0,0,0,0,0,0,2.9,3.6,0,1.5,0,5.8,.7000000000000001,0,0,0,0,0,0,0,1.5,0,5.8,0,0,0,0,0,0,0,.7000000000000001,0,3.6,1.5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,0,.7000000000000001,0,.7000000000000001,2020b,8T6AMW,51620_195110
51,United Kingdom,0,0,26/05/1955,195505,51320,Labour Party,Labour,30,102,1,1982,.961,,46.358,0,,277,630,1,10,,175,13.1,.6,0,4,2.3,.6,5.7,5.7,1.1,0,0,2.9,.6,0,.6,3.4,0,0,0,0,0,1.1,4.600000000000001,7.4,0,0,0,4,0,3.4,2.3,1.7,2.9,1.7,0,0,.6,1.7,10.9,9.700000000000001,0,4,0,0,.6,0,0,0,1.1,0,0,1.1,.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.9,13.7,1.7,20.6,6.3,2020b,K6IQTE,51320_195505
